호선,역명,엘리베이터(E/V),에스컬레이터(E/S),휠체어리프트(W/L),수평자동보도(M/W),역명_정규화,호선_정규화,자치구,월간총이용객수,EV1대당_이용객수
3호선,남부터미널,3,2,0,0,남부터미널,3호선,서초구,1792997,597665.6666666666
3호선,양재(3),5,2,0,0,양재,3호선,서초구,2028584,405716.8
3호선,매봉,3,4,0,0,매봉,3호선,강남구,683702,227900.66666666666
3호선,도곡(3),0,8,0,0,도곡,3호선,강남구,325790,
3호선,대치,2,8,0,0,대치,3호선,강남구,743043,371521.5
3호선,학여울,3,2,0,0,학여울,3호선,강남구,165647,55215.666666666664
3호선,대청,3,4,0,0,대청,3호선,강남구,570729,190243.0
3호선,일원,4,6,0,0,일원,3호선,강남구,607704,151926.0
3호선,수서(3),4,12,0,0,수서,3호선,강남구,1060803,265200.75
3호선,가락시장(3),3,22,0,0,가락시장,3호선,송파구,491645,163881.66666666666
3호선,경찰병원,4,20,0,0,경찰병원,3호선,송파구,424250,106062.5
3호선,오금(3),3,15,0,0,오금,3호선,송파구,344609,114869.66666666667
4호선,불암산,3,4,0,0,불암산,4호선,노원구,525956,175318.66666666666
4호선,상계,1,4,0,0,상계,4호선,노원구,1054180,1054180.0
4호선,노원(4),3,8,0,0,노원,4호선,노원구,1298543,432847.6666666667
4호선,창동(4),8,6,0,0,창동,4호선,도봉구,1416552,177069.0
4호선,쌍문,3,6,0,0,쌍문,4호선,도봉구,1580896,526965.3333333334
4호선,수유,3,4,0,0,수유,4호선,강북구,1944541,648180.3333333334
4호선,미아,3,6,0,0,미아,4호선,강북구,872556,290852.0
4호선,미아사거리,2,2,0,0,미아사거리,4호선,강북구,1478353,739176.5
4호선,길음,3,3,0,0,길음,4호선,성북구,1154549,384849.6666666667
4호선,성신여대입구(4),4,4,0,0,성신여대입구,4호선,성북구,1262715,315678.75
4호선,한성대입구,3,2,0,0,한성대입구,4호선,성북구,778347,259449.0
4호선,혜화,4,4,0,0,혜화,4호선,종로구,2243950,560987.5
4호선,동대문(4),2,10,0,0,동대문,4호선,종로구,1107747,553873.5
4호선,동대문역사문화공원(4),2,6,0,0,동대문역사문화공원,4호선,중구,1259300,629650.0
4호선,충무로(4),4,23,0,0,충무로,4호선,중구,1772489,443122.25
4호선,명동,2,5,0,0,명동,4호선,중구,2486841,1243420.5
4호선,회현,2,6,0,0,회현,4호선,중구,1671569,835784.5
