"사용일자","노선명","역명","승차총승객수","하차총승객수","등록일자"
"20260801","경의선","금촌","6234","5890","20260804",""
"20260801","경의선","월롱","1264","1133","20260804",""
"20260801","경의선","파주","1104","863","20260804",""
"20260801","경의선","문산","5946","5247","20260804",""
"20260801","경의선","임진강","73","63","20260804",""
"20260801","경의선","운천","9","7","20260804",""
"20260801","경인선","개봉","16673","16343","20260804",""
"20260801","경인선","오류동","8454","7821","20260804",""
"20260801","경인선","역곡","17959","17735","20260804",""
"20260801","경인선","부천","28575","29209","20260804",""
"20260801","경인선","송내","16844","16461","20260804",""
"20260801","경인선","부평","29194","31694","20260804",""
"20260801","경인선","백운","5061","4910","20260804",""
"20260801","경인선","동암","12286","12226","20260804",""
"20260801","경인선","주안","15164","13255","20260804",""
"20260801","경인선","제물포","7362","7003","20260804",""
"20260801","경인선","동인천","11249","10771","20260804",""
"20260801","경인선","인천","4702","4151","20260804",""
"20260801","경인선","구일","9720","9557","20260804",""
"20260801","경인선","소사","5574","5350","20260804",""
"20260801","경인선","부개","6215","5783","20260804",""
"20260801","경인선","간석","4266","4125","20260804",""
"20260801","경인선","도원","1905","2000","20260804",""
"20260801","경인선","온수(성공회대입구)","4458","4048","20260804",""
"20260801","경인선","중동","6521","6041","20260804",""
"20260801","경인선","도화","2938","2661","20260804",""
"20260801","경춘선","신내","1854","1743","20260804",""
"20260801","경춘선","갈매","1674","1461","20260804",""
"20260801","경춘선","별내","1968","1730","20260804",""
"20260801","경춘선","퇴계원","2317","2085","20260804",""
"20260801","경춘선","사릉","1396","1315","20260804",""
"20260801","경춘선","금곡","1127","1005","20260804",""
"20260801","경춘선","평내호평","4344","4172","20260804",""
"20260801","경춘선","천마산","1282","1246","20260804",""
"20260801","경춘선","마석","3250","3222","20260804",""
"20260801","경춘선","대성리","884","1348","20260804",""
"20260801","경춘선","청평","2033","2190","20260804",""
"20260801","경춘선","상천","275","301","20260804",""
"20260801","경춘선","가평","2897","3687","20260804",""
"20260801","경춘선","굴봉산","231","189","20260804",""
"20260801","경춘선","백양리","184","188","20260804",""
"20260801","경춘선","강촌","539","653","20260804",""
"20260801","경춘선","김유정","437","548","20260804",""
"20260801","경춘선","남춘천","3339","3396","20260804",""
"20260801","경춘선","춘천","1942","1729","20260804",""
"20260801","공항철도 1호선","서울역","15066","13844","20260804",""
"20260801","공항철도 1호선","공덕","2348","3546","20260804",""
"20260801","공항철도 1호선","홍대입구","20097","18736","20260804",""
"20260801","공항철도 1호선","디지털미디어시티","7104","6789","20260804",""
"20260801","공항철도 1호선","마곡나루(서울식물원)","8292","9184","20260804",""
"20260801","공항철도 1호선","김포공항","7400","4008","20260804",""
"20260801","공항철도 1호선","계양","7068","6783","20260804",""
"20260801","공항철도 1호선","검암","4215","4130","20260804",""
"20260801","공항철도 1호선","청라국제도시","5499","5247","20260804",""
"20260801","공항철도 1호선","운서","10088","10517","20260804",""
"20260801","공항철도 1호선","공항화물청사","1212","1616","20260804",""
"20260801","공항철도 1호선","인천공항1터미널","14931","14093","20260804",""
"20260801","공항철도 1호선","인천공항2터미널","12772","10282","20260804",""
"20260801","공항철도 1호선","영종","4251","4309","20260804",""
"20260801","과천선","선바위","4499","3918","20260804",""
"20260801","과천선","경마공원","1523","1460","20260804",""
"20260801","과천선","대공원","3971","4105","20260804",""
"20260801","과천선","과천","4006","3657","20260804",""
"20260801","과천선","정부과천청사","7141","7167","20260804",""
